Chr	Variants	Ref
1	60013	hg19
2	17077	hg19
3	31971	hg19
4	5223	hg19
5	8391	hg19
6	60688	hg19
7	51259	hg19
8	3033	hg19
9	78917	hg19
10	52709	hg19
11	8345	hg19
12	16038	hg19
13	13820	hg19
14	18364	hg19
15	64684	hg19
16	45839	hg19
17	62370	hg19
18	9588	hg19
19	6484	hg19
20	92327	hg19
21	7618	hg19
22	39064	hg19
X	9069	hg19
Y	19564	hg19
1	36190	hg38
2	9826	hg38
3	532	hg38
4	3082	hg38
5	5945	hg38
6	20511	hg38
7	12724	hg38
8	60	hg38
9	57957	hg38
10	3379	hg38
11	3365	hg38
12	797	hg38
13	9838	hg38
14	18826	hg38
15	60258	hg38
16	2408	hg38
17	31754	hg38
18	4630	hg38
19	5067	hg38
20	17198	hg38
21	7610	hg38
22	19904	hg38
X	2644	hg38
Y	14311	hg38